Company Name,sy,Extension,Symbol
C.E. Info Systems Ltd.,MAPMYINDIA,.NS,MAPMYINDIA.NS
CCL Products (I) Ltd.,CCL,.NS,CCL.NS
CESC Ltd.,CESC,.NS,CESC.NS
CG Power and Industrial Solutions Ltd.,CGPOWER,.NS,CGPOWER.NS
CIE Automotive India Ltd.,CIEINDIA,.NS,CIEINDIA.NS
CRISIL Ltd.,CRISIL,.NS,CRISIL.NS
Campus Activewear Ltd.,CAMPUS,.NS,CAMPUS.NS
Can Fin Homes Ltd.,CANFINHOME,.NS,CANFINHOME.NS
Canara Bank,CANBK,.NS,CANBK.NS
Caplin Point Laboratories Ltd.,CAPLIPOINT,.NS,CAPLIPOINT.NS
Capri Global Capital Ltd.,CGCL,.NS,CGCL.NS
Carborundum Universal Ltd.,CARBORUNIV,.NS,CARBORUNIV.NS
Castrol India Ltd.,CASTROLIND,.NS,CASTROLIND.NS
Ceat Ltd.,CEATLTD,.NS,CEATLTD.NS
Cello World Ltd.,CELLO,.NS,CELLO.NS
Central Bank of India,CENTRALBK,.NS,CENTRALBK.NS
Central Depository Services (India) Ltd.,CDSL,.NS,CDSL.NS
Century Plyboards (India) Ltd.,CENTURYPLY,.NS,CENTURYPLY.NS
Cera Sanitaryware Ltd,CERA,.NS,CERA.NS
Chalet Hotels Ltd.,CHALET,.NS,CHALET.NS
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,.NS,CHAMBLFERT.NS
Chemplast Sanmar Ltd.,CHEMPLASTS,.NS,CHEMPLASTS.NS
Chennai Petroleum Corporation Ltd.,CHENNPETRO,.NS,CHENNPETRO.NS
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,.NS,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,.NS,CHOLAFIN.NS
Cipla Ltd.,CIPLA,.NS,CIPLA.NS
City Union Bank Ltd.,CUB,.NS,CUB.NS
Clean Science and Technology Ltd.,CLEAN,.NS,CLEAN.NS
Coal India Ltd.,COALINDIA,.NS,COALINDIA.NS
Cochin Shipyard Ltd.,COCHINSHIP,.NS,COCHINSHIP.NS
Coforge Ltd.,COFORGE,.NS,COFORGE.NS
Colgate Palmolive (India) Ltd.,COLPAL,.NS,COLPAL.NS
Computer Age Management Services Ltd.,CAMS,.NS,CAMS.NS
Concord Biotech Ltd.,CONCORDBIO,.NS,CONCORDBIO.NS
Container Corporation of India Ltd.,CONCOR,.NS,CONCOR.NS
Coromandel International Ltd.,COROMANDEL,.NS,COROMANDEL.NS
Craftsman Automation Ltd.,CRAFTSMAN,.NS,CRAFTSMAN.NS
CreditAccess Grameen Ltd.,CREDITACC,.NS,CREDITACC.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,.NS,CROMPTON.NS
Cummins India Ltd.,CUMMINSIND,.NS,CUMMINSIND.NS
Cyient Ltd.,CYIENT,.NS,CYIENT.NS
DLF Ltd.,DLF,.NS,DLF.NS
DOMS Industries Ltd.,DOMS,.NS,DOMS.NS
Dabur India Ltd.,DABUR,.NS,DABUR.NS
Dalmia Bharat Ltd.,DALBHARAT,.NS,DALBHARAT.NS
Data Patterns (India) Ltd.,DATAPATTNS,.NS,DATAPATTNS.NS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,.NS,DEEPAKFERT.NS
Deepak Nitrite Ltd.,DEEPAKNTR,.NS,DEEPAKNTR.NS
Delhivery Ltd.,DELHIVERY,.NS,DELHIVERY.NS
Devyani International Ltd.,DEVYANI,.NS,DEVYANI.NS
Divi's Laboratories Ltd.,DIVISLAB,.NS,DIVISLAB.NS
Dixon Technologies (India) Ltd.,DIXON,.NS,DIXON.NS
Dr. Lal Path Labs Ltd.,LALPATHLAB,.NS,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY,.NS,DRREDDY.NS
E.I.D. Parry (India) Ltd.,EIDPARRY,.NS,EIDPARRY.NS
EIH Ltd.,EIHOTEL,.NS,EIHOTEL.NS
Easy Trip Planners Ltd.,EASEMYTRIP,.NS,EASEMYTRIP.NS
Eicher Motors Ltd.,EICHERMOT,.NS,EICHERMOT.NS
Elecon Engineering Co. Ltd.,ELECON,.NS,ELECON.NS
Elgi Equipments Ltd.,ELGIEQUIP,.NS,ELGIEQUIP.NS
Emami Ltd.,EMAMILTD,.NS,EMAMILTD.NS
Emcure Pharmaceuticals Ltd.,EMCURE,.NS,EMCURE.NS
Endurance Technologies Ltd.,ENDURANCE,.NS,ENDURANCE.NS
Engineers India Ltd.,ENGINERSIN,.NS,ENGINERSIN.NS
Equitas Small Finance Bank Ltd.,EQUITASBNK,.NS,EQUITASBNK.NS
Eris Lifesciences Ltd.,ERIS,.NS,ERIS.NS
Escorts Kubota Ltd.,ESCORTS,.NS,ESCORTS.NS
Exide Industries Ltd.,EXIDEIND,.NS,EXIDEIND.NS
FSN E-Commerce Ventures Ltd.,NYKAA,.NS,NYKAA.NS
Federal Bank Ltd.,FEDERALBNK,.NS,FEDERALBNK.NS
Fertilisers and Chemicals Travancore Ltd.,FACT,.NS,FACT.NS
Fine Organic Industries Ltd.,FINEORG,.NS,FINEORG.NS
Finolex Cables Ltd.,FINCABLES,.NS,FINCABLES.NS
Finolex Industries Ltd.,FINPIPE,.NS,FINPIPE.NS
Firstsource Solutions Ltd.,FSL,.NS,FSL.NS
Five-Star Business Finance Ltd.,FIVESTAR,.NS,FIVESTAR.NS
Fortis Healthcare Ltd.,FORTIS,.NS,FORTIS.NS
G R Infraprojects Ltd.,GRINFRA,.NS,GRINFRA.NS
GAIL (India) Ltd.,GAIL,.NS,GAIL.NS
GE Vernova T&D India Ltd.,GVT&D,.NS,GVT&D.NS
GMR Airports Ltd.,GMRAIRPORT,.NS,GMRAIRPORT.NS
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,.NS,GRSE.NS
General Insurance Corporation of India,GICRE,.NS,GICRE.NS
Gillette India Ltd.,GILLETTE,.NS,GILLETTE.NS
Gland Pharma Ltd.,GLAND,.NS,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,.NS,GLAXO.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK,.NS,GLENMARK.NS
Global Health Ltd.,MEDANTA,.NS,MEDANTA.NS
