Company Name,sy,Extension,Symbol
Raymond Ltd.,RAYMOND,.NS,RAYMOND.NS
Redington Ltd.,REDINGTON,.NS,REDINGTON.NS
Reliance Industries Ltd.,RELIANCE,.NS,RELIANCE.NS
Route Mobile Ltd.,ROUTE,.NS,ROUTE.NS
SBFC Finance Ltd.,SBFC,.NS,SBFC.NS
SBI Cards and Payment Services Ltd.,SBICARD,.NS,SBICARD.NS
SBI Life Insurance Company Ltd.,SBILIFE,.NS,SBILIFE.NS
SJVN Ltd.,SJVN,.NS,SJVN.NS
SKF India Ltd.,SKFINDIA,.NS,SKFINDIA.NS
SRF Ltd.,SRF,.NS,SRF.NS
Sammaan Capital Ltd.,SAMMAANCAP,.NS,SAMMAANCAP.NS
Samvardhana Motherson International Ltd.,MOTHERSON,.NS,MOTHERSON.NS
Sanofi India Ltd.,SANOFI,.NS,SANOFI.NS
Sapphire Foods India Ltd.,SAPPHIRE,.NS,SAPPHIRE.NS
Saregama India Ltd,SAREGAMA,.NS,SAREGAMA.NS
Schaeffler India Ltd.,SCHAEFFLER,.NS,SCHAEFFLER.NS
Schneider Electric Infrastructure Ltd.,SCHNEIDER,.NS,SCHNEIDER.NS
Shipping Corporation of India Ltd.,SCI,.NS,SCI.NS
Shree Cement Ltd.,SHREECEM,.NS,SHREECEM.NS
Shree Renuka Sugars Ltd.,RENUKA,.NS,RENUKA.NS
Shriram Finance Ltd.,SHRIRAMFIN,.NS,SHRIRAMFIN.NS
Shyam Metalics and Energy Ltd.,SHYAMMETL,.NS,SHYAMMETL.NS
Siemens Ltd.,SIEMENS,.NS,SIEMENS.NS
Signatureglobal (India) Ltd.,SIGNATURE,.NS,SIGNATURE.NS
Sobha Ltd.,SOBHA,.NS,SOBHA.NS
Solar Industries India Ltd.,SOLARINDS,.NS,SOLARINDS.NS
Sona BLW Precision Forgings Ltd.,SONACOMS,.NS,SONACOMS.NS
Sonata Software Ltd.,SONATSOFTW,.NS,SONATSOFTW.NS
Star Health and Allied Insurance Company Ltd.,STARHEALTH,.NS,STARHEALTH.NS
State Bank of India,SBIN,.NS,SBIN.NS
Steel Authority of India Ltd.,SAIL,.NS,SAIL.NS
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,.NS,SWSOLAR.NS
Sumitomo Chemical India Ltd.,SUMICHEM,.NS,SUMICHEM.NS
Sun Pharma Advanced Research Company Ltd.,SPARC,.NS,SPARC.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,.NS,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV,.NS,SUNTV.NS
Sundaram Finance Ltd.,SUNDARMFIN,.NS,SUNDARMFIN.NS
Sundram Fasteners Ltd.,SUNDRMFAST,.NS,SUNDRMFAST.NS
Supreme Industries Ltd.,SUPREMEIND,.NS,SUPREMEIND.NS
Suven Pharmaceuticals Ltd.,SUVENPHAR,.NS,SUVENPHAR.NS
Suzlon Energy Ltd.,SUZLON,.NS,SUZLON.NS
Swan Energy Ltd.,SWANENERGY,.NS,SWANENERGY.NS
Syngene International Ltd.,SYNGENE,.NS,SYNGENE.NS
Syrma SGS Technology Ltd.,SYRMA,.NS,SYRMA.NS
TBO Tek Ltd.,TBOTEK,.NS,TBOTEK.NS
TVS Motor Company Ltd.,TVSMOTOR,.NS,TVSMOTOR.NS
TVS Supply Chain Solutions Ltd.,TVSSCS,.NS,TVSSCS.NS
Tanla Platforms Ltd.,TANLA,.NS,TANLA.NS
Tata Chemicals Ltd.,TATACHEM,.NS,TATACHEM.NS
Tata Communications Ltd.,TATACOMM,.NS,TATACOMM.NS
Tata Consultancy Services Ltd.,TCS,.NS,TCS.NS
Tata Consumer Products Ltd.,TATACONSUM,.NS,TATACONSUM.NS
Tata Elxsi Ltd.,TATAELXSI,.NS,TATAELXSI.NS
Tata Investment Corporation Ltd.,TATAINVEST,.NS,TATAINVEST.NS
Tata Motors Ltd.,TATAMOTORS,.NS,TATAMOTORS.NS
Tata Power Co. Ltd.,TATAPOWER,.NS,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL,.NS,TATASTEEL.NS
Tata Technologies Ltd.,TATATECH,.NS,TATATECH.NS
Tata Teleservices (Maharashtra) Ltd.,TTML,.NS,TTML.NS
Tech Mahindra Ltd.,TECHM,.NS,TECHM.NS
Techno Electric & Engineering Company Ltd.,TECHNOE,.NS,TECHNOE.NS
Tejas Networks Ltd.,TEJASNET,.NS,TEJASNET.NS
The New India Assurance Company Ltd.,NIACL,.NS,NIACL.NS
The Ramco Cements Ltd.,RAMCOCEM,.NS,RAMCOCEM.NS
Thermax Ltd.,THERMAX,.NS,THERMAX.NS
Timken India Ltd.,TIMKEN,.NS,TIMKEN.NS
Titagarh Rail Systems Ltd.,TITAGARH,.NS,TITAGARH.NS
Titan Company Ltd.,TITAN,.NS,TITAN.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM,.NS,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER,.NS,TORNTPOWER.NS
Trent Ltd.,TRENT,.NS,TRENT.NS
Trident Ltd.,TRIDENT,.NS,TRIDENT.NS
Triveni Engineering & Industries Ltd.,TRIVENI,.NS,TRIVENI.NS
Triveni Turbine Ltd.,TRITURBINE,.NS,TRITURBINE.NS
Tube Investments of India Ltd.,TIINDIA,.NS,TIINDIA.NS
UCO Bank,UCOBANK,.NS,UCOBANK.NS
UNO Minda Ltd.,UNOMINDA,.NS,UNOMINDA.NS
UPL Ltd.,UPL,.NS,UPL.NS
UTI Asset Management Company Ltd.,UTIAMC,.NS,UTIAMC.NS
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,.NS,UJJIVANSFB.NS
UltraTech Cement Ltd.,ULTRACEMCO,.NS,ULTRACEMCO.NS
Union Bank of India,UNIONBANK,.NS,UNIONBANK.NS
United Breweries Ltd.,UBL,.NS,UBL.NS
United Spirits Ltd.,UNITDSPR,.NS,UNITDSPR.NS
Usha Martin Ltd.,USHAMART,.NS,USHAMART.NS
V-Guard Industries Ltd.,VGUARD,.NS,VGUARD.NS
V.I.P. Industries Ltd.,VIPIND,.NS,VIPIND.NS
Valor Estate Ltd.,DBREALTY,.NS,DBREALTY.NS
Vardhman Textiles Ltd.,VTL,.NS,VTL.NS
Varroc Engineering Ltd.,VARROC,.NS,VARROC.NS
Varun Beverages Ltd.,VBL,.NS,VBL.NS
Vedant Fashions Ltd.,MANYAVAR,.NS,MANYAVAR.NS
Vedanta Ltd.,VEDL,.NS,VEDL.NS
Vijaya Diagnostic Centre Ltd.,VIJAYA,.NS,VIJAYA.NS
Vinati Organics Ltd.,VINATIORGA,.NS,VINATIORGA.NS
Vodafone Idea Ltd.,IDEA,.NS,IDEA.NS
Voltas Ltd.,VOLTAS,.NS,VOLTAS.NS
Welspun Corp Ltd.,WELCORP,.NS,WELCORP.NS
Welspun Living Ltd.,WELSPUNLIV,.NS,WELSPUNLIV.NS
Westlife Foodworld Ltd.,WESTLIFE,.NS,WESTLIFE.NS
Whirlpool of India Ltd.,WHIRLPOOL,.NS,WHIRLPOOL.NS
Wipro Ltd.,WIPRO,.NS,WIPRO.NS
Yes Bank Ltd.,YESBANK,.NS,YESBANK.NS
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,.NS,ZFCVINDIA.NS
Zee Entertainment Enterprises Ltd.,ZEEL,.NS,ZEEL.NS
Zensar Technolgies Ltd.,ZENSARTECH,.NS,ZENSARTECH.NS
Zomato Ltd.,ZOMATO,.NS,ZOMATO.NS
Zydus Lifesciences Ltd.,ZYDUSLIFE,.NS,ZYDUSLIFE.NS
eClerx Services Ltd.,ECLERX,.NS,ECLERX.NS
