Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
RAYMONDLSL,RAYMOND LIFESTYLE LTD,"66,39,00,00,000",66.39 B,"1,086.65",-5.00%,198.68 K,1.22,—,—,—,—,Strong buy
PNCINFRA,PNC INFRATECH LTD.,"66,37,00,00,000",66.37 B,258.95,-5.22%,417.12 K,0.64,5.85,44.28,72.23%,0.23%,Buy
BORORENEW,BOROSIL RENEWABLES LTD,"65,89,00,00,000",65.89 B,502.5,-4.11%,183.16 K,1.07,—,-7.47,-964.88%,0.00%,—
MAXESTATES,MAX ESTATES LTD,"65,10,00,00,000",65.1 B,405.7,0.62%,360.7 K,2.72,296.59,1.37,—,0.00%,
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,"64,99,00,00,000",64.99 B,56.87,-4.84%,5.83 M,2.56,20.89,2.72,-60.49%,1.75%,
TMB,TAMILNAD MERCA BANK LTD,"64,84,00,00,000",64.84 B,409.15,-1.65%,65.94 K,1.22,5.66,72.23,6.69%,2.44%,—
VARROC,VARROC ENGINEERING LTD.,"64,54,00,00,000",64.54 B,421.85,-3.35%,223.62 K,1.23,66.1,6.38,-80.83%,0.00%,—
RCF,RASHTRIYA CHEMICALS & FER,"64,52,00,00,000",64.52 B,117.02,-4.49%,2.29 M,1.08,24.34,4.81,-8.43%,1.06%,—
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,"64,29,00,00,000",64.29 B,999.45,-0.29%,169.5 K,1.76,33.95,29.44,81.26%,0.76%,—
LLOYDSENGG,LLOYDS ENGG WORK LTD,"64,16,00,00,000",64.16 B,55.02,-4.20%,6.44 M,1.38,59.75,0.92,54.57%,0.36%,—
CHEMPLASTS,CHEMPLAST SANMAR LTD,"64,12,00,00,000",64.12 B,404.6,-0.01%,152.6 K,1.48,—,-5.52,-7.51%,0.00%,Strong buy
NETWORK18,NETWORK18 MEDIA & INV LTD,"63,73,00,00,000",63.73 B,41.32,-5.08%,5.92 M,1.61,—,-12.22,-550.32%,0.00%,MHRIL
VOLTAMP,VOLTAMP TRANSFORMERS LTD,"63,42,00,00,000",63.42 B,"6,278.00",-4.84%,56.13 K,0.61,19.72,318.39,10.92%,0.00%,—
KTKBANK,KARNATAKA BANK LTD,"63,38,00,00,000",63.38 B,167.65,-1.53%,1.69 M,1.52,4.82,34.78,-19.70%,3.28%,
BBOX,BLACK BOX LTD,"63,17,00,00,000",63.17 B,372.8,-4.99%,715.84 K,3.55,34.04,10.95,53.54%,0.00%,Strong buy
HGINFRA,H.G.INFRA ENGINEERING LTD,"62,97,00,00,000",62.97 B,964.4,-3.03%,177.69 K,1.76,11.46,84.17,5.59%,0.16%,Strong buy
DODLA,DODLA DAIRY LTD,"62,75,00,00,000",62.75 B,"1,035.05",2.67%,56.8 K,2.1,26.09,39.68,67.20%,0.29%,Strong buy
SANDUMA,SANDUR MANG & IRON ORES L,"62,67,00,00,000",62.67 B,386.9,-1.83%,203.75 K,0.23,13.13,29.47,44.81%,0.26%,KESORAMIND
EPL,EPL LTD,"62,64,00,00,000",62.64 B,195.84,-3.14%,1.92 M,2.37,23.45,8.35,-3.38%,2.45%,Strong buy
RUSTOMJEE,KEYSTONE REALTORS LTD,"62,58,00,00,000",62.58 B,518.15,2.00%,27.78 K,0.58,45.92,11.28,-18.74%,0.00%,
ACI,ARCHEAN CHEMICAL IND LTD,"62,41,00,00,000",62.41 B,503.25,-0.05%,656.08 K,0.39,37.42,13.45,-58.35%,0.59%,Strong buy
SOUTHBANK,THE SOUTH INDIAN BANK LTD,"62,32,00,00,000",62.32 B,23.8,-3.13%,9.54 M,1.06,4.74,5.02,2.44%,1.26%,
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,"62,18,00,00,000",62.18 B,32.13,-1.50%,13.68 M,1.28,6.49,4.95,-21.68%,4.67%,
FDC,FDC LTD,"62,17,00,00,000",62.17 B,381.9,-2.13%,192.13 K,0.96,22.66,16.85,-4.03%,1.31%,SHILPAMED
ROUTE,ROUTE MOBILE LTD,"61,68,00,00,000",61.68 B,980.1,-2.03%,136.64 K,1.5,17.63,55.59,-9.31%,1.12%,Strong buy
KNRCON,KNR CONSTRU LTD.,"61,66,00,00,000",61.66 B,220.4,-1.34%,1.18 M,1.24,5.1,43.24,112.81%,0.11%,Buy
ETHOSLTD,ETHOS LTD,"61,38,00,00,000",61.38 B,"2,518.75",1.33%,44.61 K,0.87,65.2,38.63,19.72%,0.00%,Strong buy
PGIL,PEARL GLOBAL IND LTD,"61,34,00,00,000",61.34 B,"1,342.05",-3.30%,609.26 K,4.34,26,51.61,27.94%,0.37%,Strong buy
NESCO,NESCO LTD.,"61,32,00,00,000",61.32 B,870,-3.31%,59.46 K,0.71,15.65,55.6,14.35%,0.69%,—
PCJEWELLER,PC JEWELLER LTD,"60,98,00,00,000",60.98 B,11.31,1.98%,22.17 M,1.44,18.29,0.62,—,0.00%,—
TVSSCS,TVS SUPPLY CHAIN SOL L,"60,81,00,00,000",60.81 B,137.71,-0.17%,816.52 K,0.24,—,-0.1,—,0.00%,Strong buy
KESORAMIND,KESORAM INDUSTRIES LTD,"60,79,00,00,000",60.79 B,195.66,-3.11%,1.95 M,1.78,—,-14.34,-168.71%,0.00%,MOIL
GPPL,GUJARAT PIPAVAV PORT LTD,"60,43,00,00,000",60.43 B,124.95,-3.50%,1.31 M,1.01,17.24,7.25,-6.19%,6.16%,Neutral
DBL,DILIP BUILDCON LTD,"60,41,00,00,000",60.41 B,413.15,0.41%,308.72 K,0.88,12.71,32.51,311.44%,0.24%,Neutral
PDSL,PDS LTD,"59,99,00,00,000",59.99 B,425.8,0.57%,108.78 K,1.06,35.87,11.87,1.98%,1.13%,Strong buy
SWSOLAR,STRLNG & WIL REN ENE LTD,"59,70,00,00,000",59.7 B,255.45,1.11%,4.14 M,1.45,217.63,1.17,—,0.00%,Strong buy
HMT,HMT LTD -,"59,64,00,00,000",59.64 B,48.99,-3.51%,18.69 K,2.54,0.69,71.25,—,0.00%,—
SHILPAMED,SHILPA MEDICARE LTD,"59,64,00,00,000",59.64 B,610.1,-2.75%,222.91 K,0.92,65.13,9.37,—,0.00%,Strong buy
MHRIL,MAHINDRA HOLIDAYS LTD,"59,48,00,00,000",59.48 B,294.15,-1.69%,149.72 K,1.65,43.32,6.79,52.09%,0.00%,Strong buy
MOIL,MOIL LTD,"59,10,00,00,000",59.1 B,290.25,-4.35%,1.09 M,1.33,16.54,17.55,26.13%,2.26%,Strong buy
THANGAMAYL,THANGAMAYIL JEWELLERY LTD,"58,89,00,00,000",58.89 B,"1,888.40",-1.69%,334.1 K,2.1,46.28,40.8,-8.31%,0.51%,Strong buy
VMART,VMART RETAIL LTD,"58,84,00,00,000",58.84 B,"2,991.15",2.24%,39.74 K,1.34,—,-6.32,86.84%,0.00%,Buy
TANLA,TANLA PLATFORMS LTD,"58,81,00,00,000",58.81 B,436.3,-5.13%,967.53 K,1.33,11.29,38.63,-3.37%,2.75%,Buy
RENUKA,SHREE RENUKA SUGARS LTD,"58,73,00,00,000",58.73 B,27.51,-3.91%,6.1 M,1.17,—,-2.36,-6.45%,0.00%,—
THOMASCOOK,THOMAS COOK (INDIA) LTD,"58,73,00,00,000",58.73 B,124.9,-1.84%,749.34 K,0.41,23.59,5.3,25.94%,0.48%,Strong buy
HNDFDS,HINDUSTAN FOODS LTD,"58,44,00,00,000",58.44 B,510.4,-2.35%,92.3 K,0.9,57.79,8.83,10.27%,0.00%,Strong buy
DHANUKA,DHANUKA AGRITECH LTD,"58,20,00,00,000",58.2 B,"1,271.45",-1.52%,46.17 K,2.27,20.6,61.72,14.82%,1.10%,Strong buy
GOKEX,GOKALDAS EXPORTS LTD.,"58,07,00,00,000",58.07 B,813.55,-1.00%,207.81 K,0.73,38.25,21.27,-0.58%,0.12%,Strong buy
KRBL,KRBL LTD,"58,02,00,00,000",58.02 B,253.2,-4.04%,444.26 K,1.86,13.29,19.05,-26.25%,1.58%,—
PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,"57,77,00,00,000",57.77 B,612.35,5.00%,205.44 K,1.38,54.59,11.22,48.85%,0.03%,—
RATEGAIN,RATEGAIN TRAVEL TECHN LTD,"57,72,00,00,000",57.72 B,490,-2.56%,536.88 K,0.64,28.59,17.14,46.12%,0.00%,Strong buy
ASTRAMICRO,ASTRA MICROWAVE LTD,"57,72,00,00,000",57.72 B,607.1,-1.51%,172.58 K,0.94,42.88,14.16,64.96%,0.33%,Buy
GREENLAM,GREENLAM INDUSTRIES LTD.,"57,59,00,00,000",57.59 B,450.45,-2.54%,16.1 K,0.9,52.93,8.51,-25.85%,0.37%,Buy
PRSMJOHNSN,PRISM JOHNSON LTD,"57,51,00,00,000",57.51 B,114.02,-4.50%,488.21 K,1.46,—,-1.3,-132.06%,0.00%,Neutral
WELENT,WELSPUN ENTERPRISES LTD.,"57,48,00,00,000",57.48 B,417.4,-0.63%,283.87 K,0.72,19.41,21.51,-16.12%,0.72%,Neutral
LLOYDSENT,LLOYDS ENTERPRISES LTD,"57,45,00,00,000",57.45 B,45.16,-0.55%,9.21 M,3.62,83.71,0.54,-45.97%,0.22%,—
ELECTCAST,ELECTROSTEEL CASTINGS LTD,"57,37,00,00,000",57.37 B,92.76,-0.76%,3.17 M,1.51,7.45,12.45,23.31%,1.51%,Strong buy
SHOPERSTOP,SHOPPERS STOP LTD,"57,35,00,00,000",57.35 B,523.2,1.21%,71.05 K,2.08,181.57,2.88,-53.30%,0.00%,Buy
STAR,STRIDES PHARMA SCI LTD,"57,26,00,00,000",57.26 B,619.5,-2.11%,610.58 K,0.83,21.17,29.27,—,0.40%,Strong buy
PRIVISCL,PRIVI SPECIALITY CHE LTD,"57,13,00,00,000",57.13 B,"1,465.55",2.00%,69.06 K,2.7,37.79,38.78,201.76%,0.14%,—
POWERMECH,POWER MECH PROJECTS LTD.,"56,95,00,00,000",56.95 B,"1,802.25",-2.34%,71.32 K,0.96,19.4,92.91,16.87%,0.06%,Buy
NIITMTS,NIIT LEARNING SYSTEMS LTD,"56,91,00,00,000",56.91 B,419.95,-0.86%,197.46 K,2.3,25.41,16.53,—,1.25%,Strong buy
INA,INSOLATION ENERGY LIMITED,"56,82,00,00,000",56.82 B,257.85,-2.66%,273.5 K,0.96,52.81,4.88,381.75%,0.00%,—
PURVA,PURAVANKARA LTD,"56,81,00,00,000",56.81 B,240.1,3.16%,610.94 K,6.41,—,-4.25,-233.54%,2.63%,
RTNINDIA,RATTANINDIA ENT LTD,"56,71,00,00,000",56.71 B,41.03,-3.80%,2.53 M,1.27,15.82,2.59,-3.02%,0.00%,—
TIIL,TECHNOCRAFT IND LTD,"56,22,00,00,000",56.22 B,"2,475.60",-1.66%,7.21 K,1.05,23.14,107,-4.97%,0.00%,—
ENERGYINF,ENERGY INFRASTRUCTURE TRUST,"56,09,00,00,000",56.09 B,84.48,-0.61%,2.15 M,45.26,—,—,—,19.34%,—
ANUP,THE ANUP ENGINEERING LTD,"56,08,00,00,000",56.08 B,"2,798.15",-4.02%,102.04 K,1.67,43.07,64.97,63.57%,0.00%,—
JUNIPER,JUNIPER HOTELS LTD,"55,99,00,00,000",55.99 B,251.8,3.07%,211.33 K,0.4,88.81,2.84,—,0.00%,Strong buy
MANORAMA,MANORAMA INDUSTRIES LTD,"55,83,00,00,000",55.83 B,952.95,-9.54%,388.49 K,7.31,69.26,13.76,118.10%,0.04%,—
AVL,ADITYA VISION LTD,"55,78,00,00,000",55.78 B,434.4,5.05%,411.4 K,3.27,57.92,7.5,18.71%,0.21%,Strong buy
ENTERO,ENTERO HEALTHCARE SOLU L,"55,55,00,00,000",55.55 B,"1,264.85",0.85%,126.69 K,1.88,61.11,20.7,—,0.00%,Strong buy
MANINFRA,MAN INFRA LTD,"55,54,00,00,000",55.54 B,147.95,-4.03%,1.19 M,1.82,20.72,7.14,-16.30%,0.97%,—
GHCL,GHCL LTD,"55,38,00,00,000",55.38 B,578,-1.27%,269.98 K,1.76,9.24,62.53,-33.25%,2.07%,Buy
SUPRAJIT,SUPRAJIT ENGINEERING LTD,"55,05,00,00,000",55.05 B,400.75,2.42%,167.84 K,2.73,42.28,9.48,-11.96%,0.66%,—
V2RETAIL,V2 RETAIL LTD,"54,50,00,00,000",54.5 B,"1,575.85",-5.00%,220.38 K,3.23,78.77,20.01,322.40%,0.00%,Strong buy
GULFOILLUB,GULF OIL LUB. IND. LTD.,"54,24,00,00,000",54.24 B,"1,098.45",-3.02%,93.09 K,1.05,15.41,71.28,24.12%,3.64%,Strong buy
KRN,KRN HEAT EXCHANGE N REF L,"54,19,00,00,000",54.19 B,873.35,-4.45%,3.31 M,0.97,—,—,—,0.00%,—
SUNDARMHLD,SUNDARAM FINANCE HOLD LTD,"53,96,00,00,000",53.96 B,242.95,-5.06%,147.01 K,2.32,9.4,25.86,58.45%,3.87%,—
PROTEAN,PROTEAN EGOV TECHNO LTD,"53,52,00,00,000",53.52 B,"1,319.15",1.42%,408.84 K,1.78,58.81,22.43,—,0.76%,Buy
SUNTECK,SUNTECK REALTY LTD,"53,51,00,00,000",53.51 B,365.5,-3.19%,328.86 K,0.96,26.6,13.74,—,0.41%,
GREAVESCOT,GREAVES COTTON LTD.,"53,16,00,00,000",53.16 B,228.65,-7.07%,7.25 M,1.58,144.46,1.58,—,0.87%,—
BANSALWIRE,BANSAL WIRE INDUSTRIES L,"53,03,00,00,000",53.03 B,337.6,-3.78%,100.69 K,0.86,—,—,—,0.00%,Strong buy
RESPONIND,RESPONSIVE INDUSTRIES LTD,"52,55,00,00,000",52.55 B,197.17,-1.71%,597.39 K,2.13,27.49,7.17,38.55%,0.05%,SURYAROSNI
ICIL,INDO COUNT INDUSTRIES LTD,"52,33,00,00,000",52.33 B,264.35,-5.56%,687.63 K,0.99,16.02,16.5,-4.10%,0.83%,Strong buy
IXIGO,LE TRAVENUES TECHNOLOGY L,"52,12,00,00,000",52.12 B,133.88,-4.90%,583.91 K,0.44,100.66,1.33,—,0.00%,Strong buy
TEXRAIL,TEXMACO RAIL & ENG. LTD.,"51,91,00,00,000",51.91 B,129.53,-3.77%,2.95 M,1.3,21.72,5.96,124.93%,0.38%,—
BALUFORGE,BALU FORGE INDUSTRIES LTD,"51,78,00,00,000",51.78 B,477.05,-2.31%,926.8 K,1.16,—,—,—,0.03%,—
KSCL,KAVERI SEED CO. LTD.,"51,48,00,00,000",51.48 B,"1,000.95",-2.95%,248.74 K,1.25,16.92,59.14,14.83%,0.50%,Neutral
ICRA,ICRA LTD,"51,15,00,00,000",51.15 B,"5,314.55",-0.61%,3.55 K,0.81,31.8,167.1,12.72%,0.75%,Neutral
UEL,UJAAS ENERGY LTD,"51,07,00,00,000",51.07 B,478.45,-4.99%,157,0.21,"1,142.70",0.42,—,0.00%,—
JKIL,JKUMAR INFR.LTD.,"50,82,00,00,000",50.82 B,673,0.34%,140.5 K,0.95,13.44,50.07,25.13%,0.60%,Strong buy
ARVINDFASN,ARVIND FASHIONS LTD,"50,75,00,00,000",50.75 B,380.75,-1.30%,556.42 K,1.38,62.02,6.14,21.68%,0.33%,Strong buy
INFIBEAM,INFIBEAM AVENUES LTD,"50,68,00,00,000",50.68 B,18.18,-2.26%,8.41 M,1.31,22.28,0.82,49.04%,0.28%,Buy
REFEX,REFEX INDUSTRIES LTD,"50,47,00,00,000",50.47 B,391.5,0.46%,322.9 K,1.91,32.79,11.94,20.05%,0.13%,—
GMMPFAUDLR,GMM PFAUDLER LTD,"49,81,00,00,000",49.81 B,"1,107.10",0.60%,101.33 K,2.45,43.25,25.6,-41.36%,0.18%,—
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,"49,17,00,00,000",49.17 B,316.85,-4.43%,504.52 K,2.21,103,3.08,75.33%,0.84%,
ORCHPHARMA,ORCHID PHARMA LTD,"49,09,00,00,000",49.09 B,961.05,-0.07%,109.01 K,0.5,44.18,21.75,-16.51%,0.00%,Strong buy
CSBBANK,CSB BANK LTD,"48,95,00,00,000",48.95 B,282.75,0.82%,156.36 K,1.21,8.84,31.98,-2.96%,0.00%,
JKPAPER,JK PAPER LTD,"48,80,00,00,000",48.8 B,287.45,0.84%,661.51 K,0.95,8.56,33.58,-49.50%,2.95%,Strong buy
LXCHEM,LAXMI ORGANIC INDUS LTD,"48,76,00,00,000",48.76 B,175.61,-3.59%,753.05 K,1.38,35.94,4.89,31.24%,0.34%,Neutral
INDIGOPNTS,INDIGO PAINTS LTD,"48,66,00,00,000",48.66 B,"1,019.85",-4.20%,184.65 K,2.37,35.14,29.02,-2.75%,0.34%,Buy
PRICOLLTD,PRICOL LTD,"48,49,00,00,000",48.49 B,397.85,-2.87%,250.61 K,0.49,27.93,14.24,34.65%,0.00%,—
EMIL,ELECTRONICS MART IND LTD,"48,48,00,00,000",48.48 B,126.03,-0.27%,300.46 K,0.57,28.67,4.4,-5.78%,0.00%,Strong buy
ASHOKA,ASHOKA BUILDCON LTD,"48,38,00,00,000",48.38 B,172.15,-5.07%,3.59 M,1.48,3.2,53.84,365.96%,0.00%,Buy
TDPOWERSYS,TD POWER SYSTEMS LTD.,"48,26,00,00,000",48.26 B,308.85,-2.49%,548.08 K,0.94,32.03,9.64,20.67%,0.39%,—
SUPRIYA,SUPRIYA LIFESCIENCE LTD,"48,17,00,00,000",48.17 B,597.4,-4.68%,313.59 K,1.25,27.55,21.68,44.93%,0.13%,Buy
SENCO,SENCO GOLD LTD,"47,98,00,00,000",47.98 B,293.75,-3.37%,671.61 K,0.3,35.52,8.27,-27.89%,0.34%,Strong buy
RTNPOWER,RATTANINDIA POWER LTD,"47,90,00,00,000",47.9 B,8.91,-4.81%,21.23 M,1.86,0.44,20.04,—,0.00%,—
GAEL,GUJARAT AMBUJA EXPORTS LTD,"47,82,00,00,000",47.82 B,103.79,-0.02%,1.52 M,2.96,15.42,6.73,-4.68%,0.34%,—
RAJESHEXPO,RAJESH EXPORTS LTD,"47,03,00,00,000",47.03 B,159.22,-3.43%,644.12 K,0.29,122.82,1.3,-96.65%,0.00%,—
ZAGGLE,ZAGGLE PREPA OCEAN SER L,"46,75,00,00,000",46.75 B,347.1,0.09%,2.52 M,1.64,56.2,6.18,—,0.00%,Strong buy
SURYAROSNI,SURYA ROSHNI LTD,"46,54,00,00,000",46.54 B,213.8,-5.71%,1.09 M,2.41,14.52,14.73,-16.10%,1.17%,Strong buy
SKYGOLD,SKY GOLD LTD,"46,48,00,00,000",46.48 B,318.1,-5.00%,230.78 K,0.85,40.73,7.81,156.41%,0.06%,Strong buy
UNIMECH,UNIMECH AEROSPACE N MFG L,"46,44,00,00,000",46.44 B,914.05,-2.96%,163.26 K,0.82,—,—,—,0.00%,—
AWFIS,AWFIS SPACE SOLUTIONS LTD,"46,18,00,00,000",46.18 B,653.2,-3.37%,125.66 K,0.61,75.14,8.69,—,0.00%,
FISCHER,FISCHER MEDICAL VENTURES LIMIT,"45,84,00,00,000",45.84 B,856.75,2.47%,8.25 K,0.79,"1,386.33",0.62,—,0.00%,—
MIDHANI,MISHRA DHATU NIGAM LTD,"45,62,00,00,000",45.62 B,243.15,-4.25%,420.5 K,1.08,45.11,5.39,-9.59%,1.26%,Buy
DYNAMATECH,DYNAMATIC TECHNOLOGIES,"45,51,00,00,000",45.51 B,"6,775.95",2.90%,16.83 K,1.96,54.74,123.77,-1.33%,0.10%,—
DIACABS,DIAMOND POWER INFRA LTD,"45,42,00,00,000",45.42 B,85.75,-5.01%,51.72 K,0.62,109.54,0.78,—,0.00%,—
SHARDAMOTR,SHARDA MOTOR INDS LTD,"45,17,00,00,000",45.17 B,"1,571.45",-3.24%,13.57 K,0.93,14.38,109.3,18.88%,0.63%,—
BANCOINDIA,BANCO PRODUCTS (I) LTD,"45,05,00,00,000",45.05 B,316.1,2.03%,387.9 K,1.36,14.75,21.43,20.52%,3.49%,—
CEIGALL,CEIGALL INDIA LTD,"44,83,00,00,000",44.83 B,257.8,-1.92%,88.13 K,0.52,12.74,20.23,—,0.19%,Strong buy
SHARDACROP,SHARDA CROPCHEM LTD.,"44,68,00,00,000",44.68 B,495.55,-4.57%,142.55 K,1.08,18.3,27.08,179.97%,1.21%,Strong buy
SKIPPER,SKIPPER LTD,"44,39,00,00,000",44.39 B,392.05,-0.13%,511.19 K,1.08,35.02,11.19,46.67%,0.03%,—
INOXGREEN,INOX GREEN ENERGY SER LTD,"44,26,00,00,000",44.26 B,120.53,-1.37%,1.29 M,0.96,105.66,1.14,429.08%,0.00%,—
LSIND,LS INDUSTRIES LTD.,"44,21,00,00,000",44.21 B,52.08,-5.00%,15.67 K,2.12,—,-0.27,-164.97%,0.00%,—
NIRLON,NIRLON LTD.,"44,14,00,00,000",44.14 B,489.8,-0.01%,86.36 K,2.66,20.45,23.95,5.74%,5.31%,—
JCHAC,JOHNSON CONTROLS HITACHI,"44,13,00,00,000",44.13 B,"1,623.05",-1.48%,30.46 K,0.95,85.58,18.97,—,0.00%,Buy
SIS,SIS LTD,"44,01,00,00,000",44.01 B,304.95,-1.39%,50.56 K,0.81,19.83,15.38,-23.29%,0.00%,Strong buy
NEOGEN,NEOGEN CHEMICALS LTD,"44,00,00,00,000",44 B,"1,669.10",-2.13%,66.26 K,1.91,89.19,18.71,41.42%,0.12%,Buy
SUNCLAY,SUNDARAM CLAYTON LTD,"43,91,00,00,000",43.91 B,"1,946.40",-12.88%,187 K,9.1,—,-98.13,—,0.00%,—
HEIDELBERG,HEIDELBERGCEMENT (I) LTD,"43,59,00,00,000",43.59 B,192.42,-2.34%,317.37 K,3.45,41.74,4.61,-32.41%,4.16%,Sell
AVALON,AVALON TECHNOLOGIES LTD,"43,57,00,00,000",43.57 B,664.45,0.39%,405.76 K,0.74,96.1,6.91,-0.52%,0.00%,Neutral
IFBIND,IFB INDUSTRIES LTD,"43,41,00,00,000",43.41 B,"1,070.55",-3.08%,58.22 K,0.98,38.72,27.65,294.23%,0.00%,Buy
HIKAL,HIKAL LTD,"43,30,00,00,000",43.3 B,350.7,1.84%,339.78 K,2.4,57.99,6.05,4.10%,0.34%,Strong buy
AHLUCONT,AHLUWALIA CONT IND LTD,"43,25,00,00,000",43.25 B,646.15,-0.50%,206.19 K,1.3,13.59,47.55,28.87%,0.08%,Buy
HCC,HINDUSTAN CONSTRUCTION CO,"42,97,00,00,000",42.97 B,23.61,-3.00%,21.45 M,0.99,13.4,1.76,-34.22%,0.00%,Strong buy
VIPIND,VIP INDUSTRIES LTD,"42,92,00,00,000",42.92 B,302.55,-4.10%,661.75 K,1.93,—,-4.6,-188.47%,0.66%,Neutral
TI,TILAKNAGAR INDUSTRIES LTD,"42,90,00,00,000",42.9 B,221.7,-2.12%,1.56 M,1.32,23.46,9.45,9.63%,0.23%,Strong buy
VSTIND,VST INDUSTRIES LTD,"42,90,00,00,000",42.9 B,252.35,-6.29%,1.64 M,3.76,13.16,19.17,15.43%,5.40%,Sell
JSFB,JANA SMALL FIN BANK LTD,"42,81,00,00,000",42.81 B,408.1,-3.35%,137.18 K,0.57,5.8,70.38,22.89%,0.00%,
UNICHEMLAB,UNICHEM LABORATORIES LTD,"42,72,00,00,000",42.72 B,604.95,-2.62%,75.36 K,1.82,—,-4.54,-320.49%,0.00%,INNOVACAP
MASFIN,MAS FINANCIAL SERV LTD,"42,54,00,00,000",42.54 B,233.55,-2.50%,120.13 K,1.52,13.61,17.16,18.24%,0.64%,
ITDC,INDIA TOUR. DEV. CO. LTD.,"42,21,00,00,000",42.21 B,492.4,-3.49%,29.93 K,0.37,58.5,8.42,6.00%,0.51%,EASEMYTRIP
SHILCTECH,SHILCHAR TECHNOLOGIES LTD.,"42,09,00,00,000",42.09 B,"5,518.55",-5.00%,8.54 K,0.46,36.13,152.76,40.12%,0.23%,—
ORIENTELEC,ORIENT ELECTRIC LTD,"42,01,00,00,000",42.01 B,198.21,-3.30%,363.41 K,1.91,65.31,3.03,-25.71%,0.76%,Buy
STLTECH,STERLITE TECHNOLOGIES LTD,"42,00,00,00,000",42 B,86.22,-2.54%,1.58 M,1.39,—,-4.76,-193.89%,0.00%,Buy
BALAMINES,BALAJI AMINES LTD,"41,91,00,00,000",41.91 B,"1,293.35",-3.94%,87.46 K,1.22,22.59,57.25,0.69%,0.85%,Buy
INNOVACAP,INNOVA CAPTAB LTD,"41,58,00,00,000",41.58 B,725.9,-4.58%,62.45 K,0.92,32.6,22.26,—,0.00%,Buy
EASEMYTRIP,EASY TRIP PLANNERS LTD,"41,57,00,00,000",41.57 B,11.72,-3.93%,31.03 M,1.07,54.49,0.22,-49.78%,0.43%,MPSLTD
BANARISUG,BANNARI AMMAN SUGARS LTD,"41,22,00,00,000",41.22 B,"3,252.30",-7.09%,956,1,44.65,72.84,-49.36%,0.38%,—
AGI,AGI GREENPAC LTD,"41,19,00,00,000",41.19 B,635.9,-3.00%,343.52 K,1.55,14.17,44.88,-1.74%,0.94%,—
PTC,PTC INDIA LTD,"41,16,00,00,000",41.16 B,138.82,-1.60%,2.83 M,1.31,6.47,21.45,25.19%,5.61%,Strong buy
RAIN,RAIN INDUSTRIES LTD,"40,95,00,00,000",40.95 B,121.57,-3.12%,1.21 M,0.91,—,-16.78,39.83%,0.82%,—
RALLIS,RALLIS INDIA LTD,"40,83,00,00,000",40.83 B,209.7,-3.75%,385.05 K,1.07,29.99,6.99,36.18%,1.19%,Neutral
STYRENIX,STYRENIX PERFORMANCE LTD,"40,76,00,00,000",40.76 B,"2,325.35",-2.52%,59.58 K,2.5,17.91,129.85,37.37%,4.62%,—
PILANIINVS,PILANI INV & IND COR LTD,"40,67,00,00,000",40.67 B,"3,686.05",-3.99%,3.6 K,0.65,26.33,140,-26.22%,0.41%,—
MPSLTD,MPS LTD,"40,65,00,00,000",40.65 B,"2,364.90",-3.07%,34.71 K,1.12,30.85,76.67,7.33%,3.28%,Strong buy
BHARATRAS,BHARAT RASAYAN LTD,"40,57,00,00,000",40.57 B,"9,773.25",-2.55%,1.76 K,0.71,22.2,440.16,211.85%,0.02%,—
SHAREINDIA,SHARE IND. SECURITIES LTD,"40,53,00,00,000",40.53 B,188.06,-5.97%,372.14 K,0.78,9.49,19.81,-18.76%,0.80%,—
WONDERLA,WONDERLA HOLIDAYS LTD.,"40,37,00,00,000",40.37 B,639.35,5.31%,124.19 K,1.62,30.24,21.14,-29.82%,0.39%,Strong buy
MTARTECH,MTAR TECHNOLOGIES LTD,"39,66,00,00,000",39.66 B,"1,287.90",-5.80%,117.36 K,0.39,89.96,14.32,-46.50%,0.00%,Buy
HAWKINCOOK,HAWKINS COOKERS LTD.,"39,65,00,00,000",39.65 B,"7,497.75",-2.32%,1.66 K,1.35,34.64,216.46,16.19%,1.60%,—
VRLLOG,VRL LOGISTICS LTD,"39,49,00,00,000",39.49 B,451.3,-3.51%,58.06 K,0.56,30.31,14.89,1.99%,1.11%,Strong buy
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD,"39,49,00,00,000",39.49 B,937.1,-5.00%,633.56 K,3.92,83.52,11.22,—,0.00%,—
GOLDIAM,GOLDIAM INTERNATIONAL LTD,"39,18,00,00,000",39.18 B,366.5,-1.93%,1.35 M,0.74,35.06,10.45,26.13%,0.55%,—
JSLL,JEENA SIKHO LIFECARE LTD,"39,00,00,00,000",39 B,"1,568.90",-8.85%,62.46 K,2.32,46.29,33.89,-14.15%,0.27%,Strong buy
LUXIND,LUX INDUSTRIES LTD,"38,78,00,00,000",38.78 B,"1,291.10",-2.14%,46.85 K,0.72,22.47,57.45,64.24%,0.16%,Strong buy
