Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
ADANIPOWER,ADANI POWER LTD,"18,50,00,00,00,000",1.85 T,478.95,-3.68%,6.6 M,1.13,14.17,33.81,-44.12%,0.00%,Strong buy
BEL,BHARAT ELECTRONICS LTD,"18,00,00,00,00,000",1.8 T,246.25,-2.46%,17.75 M,0.94,36.06,6.83,39.84%,0.89%,Strong buy
INDIGO,INTERGLOBE AVIATION LTD,"17,30,00,00,00,000",1.73 T,"4,477.30",0.76%,2.13 M,3.31,28.45,157.35,-15.54%,0.00%,Buy
TRENT,TRENT LTD,"17,30,00,00,00,000",1.73 T,"4,851.55",0.96%,2.18 M,2.43,89.23,54.37,130.99%,0.07%,Buy
TATASTEEL,TATA STEEL LTD,"17,10,00,00,00,000",1.71 T,137.2,-1.07%,45.54 M,1.5,62.65,2.19,—,2.62%,Buy
SIEMENS,SIEMENS LTD,"16,50,00,00,00,000",1.65 T,"4,623.50",-1.35%,539.77 K,0.98,58.28,79.33,41.01%,0.26%,Buy
HINDZINC,HINDUSTAN ZINC LTD,"16,50,00,00,00,000",1.65 T,390.8,-5.09%,1.61 M,1.33,17.59,22.22,13.05%,7.42%,Neutral
IOC,INDIAN OIL CORP LTD,"16,00,00,00,00,000",1.6 T,113.49,-2.52%,24.16 M,2.43,14.89,7.62,-77.31%,10.57%,Buy
DLF,DLF LTD,"15,70,00,00,00,000",1.57 T,635.55,-1.07%,5.89 M,1.74,39.27,16.18,68.58%,0.79%,Strong buy
GRASIM,GRASIM INDUSTRIES LTD,"15,70,00,00,00,000",1.57 T,"2,306.65",-1.42%,1.15 M,1.94,40,57.67,-32.31%,0.43%,Buy
VEDL,VEDANTA LTD,"15,40,00,00,00,000",1.54 T,394.75,-2.42%,13.63 M,1.39,11.78,33.5,164.23%,11.02%,Buy
